"","Maturity.duration","Group","gid","YEAR","SEASON","CANOPY","DTF","HT","GYKGPHA","normal.seeding..Emergence_7DAS","normal.seeding..Emergence_14DAS","PERCENT_HEAD_RICE","Zn.RESULT..mg.kg.","qAG3","qDTY12.1","qSub1","Pita","qPi33","xa5"
"126","Mid-Early","DSRCP v1","IR18R1079",2022,"WS",24,81,110,3845,73,79,45.3,13.8,NA,-1,NA,NA,NA,1
"127","Early","DSRCP v2","IR 111947-B-B-6-3-1-3",2022,"WS",23,78,113,3942,79,83,51.4,14.5,-1,-1,NA,1,NA,1
"128","Mid-Early","DSRCP v1","IR18T1014",2022,"WS",23,79,116,3933,79,85,57.4,15.9,NA,-1,NA,NA,-1,1
"129","Mid-Early","DSRCP v1","IR16A1687",2022,"WS",26,77,116,4189,78,84,43.5,11.1,NA,-1,NA,NA,NA,-1
"130","Early","DSRCP v1","IR17L1060",2022,"WS",26,80,113,4141,74,82,55.7,10.6,0,-1,NA,NA,-1,0
"131","Early","DSRCP v2","IR 111947-B-B-30-1-1-2",2022,"WS",24,78,111,3635,83,88,43.1,15.8,-1,-1,NA,1,1,-1
"132","Mid-Early","DSRCP v1","IR16A1256",2022,"WS",26,73,115,4272,83,87,43.6,11.5,NA,-1,NA,NA,-1,-1
"133","Early","DSRCP v2","IR14D174",2022,"WS",24,76,112,4077,79,86,53.6,10.5,-1,-1,NA,1,-1,-1
"134","Mid-Early","DSRCP v1","IR16A1105",2022,"WS",24,78,111,4133,72,80,40.6,11.6,NA,-1,NA,NA,-1,1
"135","Mid-early","DSRCP v2","IR15F1887",2022,"WS",25,80,115,3893,86,89,59.9,22.6,-1,-1,NA,1,-1,-1
"136","Early","DSRCP v2","IR14D114",2022,"WS",24,74,108,3949,NA,NA,58.8,10.9,-1,1,NA,1,1,-1
"137","Mid-Early","DSRCP v1","IR16A2106",2022,"WS",27,71,112,4232,75,81,37.4,11.2,NA,-1,NA,NA,-1,-1
"138","Early","DSRCP v1","IR 118941-1:3-B2",2022,"WS",24,74,111,3853,83,83,49.9,15.4,NA,-1,NA,NA,-1,-1
"139","Early","DSRCP v2","IR 111940-B-B-14-1-1-2",2022,"WS",24,74,112,3835,79,83,49.4,20.9,-1,-1,NA,1,-1,-1
"140","Mid-early","DSRCP v2","IR 114196-5:3-B2-B",2022,"WS",23,79,108,3674,80,83,57.7,20.1,-1,-1,NA,1,-1,1
"141","Early","DSRCP v1","IR14L297",2022,"WS",27,74,114,4526,76,83,44.7,11.4,-1,-1,-1,NA,-1,-1
"142","Mid-Early","DSRCP v1","IR19L1004",2022,"WS",27,76,124,4307,80,85,56.2,13.3,NA,-1,NA,NA,NA,-1
"143","Early","DSRCP v1","IR17L1116",2022,"WS",28,78,107,4045,81,86,53.2,11.9,NA,-1,NA,NA,-1,-1
"144","Mid-early","DSRCP v2","IR 111940-B-B-14-1-3-1",2022,"WS",24,75,115,3804,83,85,42.7,16.7,-1,-1,NA,1,-1,-1
"145","Early","DSRCP v2","IR 111940-B-B-4-3-2-1",2022,"WS",25,76,113,3943,88,86,45.9,16.2,-1,-1,NA,1,-1,-1
"146","Mid-Early","DSRCP v1","IR15A2407",2022,"WS",24,77,109,4244,75,84,49.9,10.7,NA,-1,NA,NA,-1,1
"147","Early","DSRCP v2","IR 111940-B-B-13-2-3-3",2022,"WS",25,77,115,3851,74,81,48.6,19.3,-1,-1,NA,1,-1,-1
"148","Mid-Early","DSRCP v1","IR17L1191",2022,"WS",26,76,110,4142,79,85,58.3,12.5,NA,-1,NA,NA,-1,1
"149","Mid-early","DSRCP v2","IR 111940-B-B-16-1-1-1",2022,"WS",24,78,117,3836,85,88,47.1,15.2,-1,-1,NA,1,-1,-1
"150","Early","DSRCP v1","IR16T1110",2022,"WS",27,75,109,4010,85,89,46.9,10.4,NA,1,NA,NA,1,-1
"151","Early","DSRCP v1","IR 117841-4-1 RGA-1 RGA-1 RGA-2",2022,"WS",25,77,116,3611,78,83,46.1,9.3,1,-1,NA,NA,-1,1
"152","Early","DSRCP v4","IR 122420-B-B-1-3-3 RGA",2022,"WS",26,75,109,3866,NA,NA,56.76,NA,1,1,NA,-1,NA,-1
"153","Early","DSRCP v2","IR17F1118",2022,"WS",25,76,117,3931,84,89,48.1,13.6,NA,-1,NA,1,-1,-1
"154","Early","DSRCP v1","IR18T1020",2022,"WS",23,78,108,3902,75,79,56.6,13.7,NA,-1,NA,NA,-1,1
"155","Early","DSRCP v1","IR17D1087",2022,"WS",28,72,112,3944,80,84,45.2,11.1,NA,-1,-1,NA,-1,-1
"156","","DSRCP v6","IR 137188-23-2-B RGA-B RGA-2",2022,"WS",23,77,109,3468,NA,NA,51.32,NA,-1,-1,-1,1,-1,1
"157","","DSRCP v6","IR 137190-31-2-B RGA-B RGA-1",2022,"WS",23,78,108,3617,NA,NA,51.44,NA,-1,-1,-1,1,-1,1
"158","","DSRCP v6","IR 137190-24-1-B RGA-B RGA-1",2022,"WS",24,78,108,3622,NA,NA,51,NA,-1,-1,-1,1,-1,1
"159","","DSRCP v6","IR 137190-24-1-B RGA-B RGA-2",2022,"WS",24,78,108,3623,NA,NA,51.19,NA,-1,-1,-1,1,-1,1
"160","","DSRCP v6","IR 137190-24-1-B RGA-B RGA-3",2022,"WS",24,78,108,3601,NA,NA,50.95,NA,-1,-1,-1,1,-1,1
"161","","DSRCP v6","IR 139094-47-2-B RGA-B RGA-1",2022,"WS",25,74,104,3607,NA,NA,52.09,NA,1,-1,-1,1,-1,1
"162","","DSRCP v6","IR 139116-4-2-B RGA-B RGA-2",2022,"WS",24,77,110,3543,NA,NA,50.61,NA,-1,-1,-1,1,-1,1
"163","","DSRCP v6","IR 139094-47-2-B RGA-B RGA-3",2022,"WS",25,75,104,3605,NA,NA,50.81,NA,1,-1,-1,1,-1,1
"164","","DSRCP v6","IR 139094-47-2-B RGA-B RGA-5",2022,"WS",24,75,104,3627,NA,NA,51.77,NA,1,-1,-1,1,-1,1
"165","","DSRCP v6","IR 139116-4-2-B RGA-B RGA-1",2022,"WS",24,77,110,3545,NA,NA,51.34,NA,-1,-1,-1,1,-1,1
"166","","DSRCP v6","IR 139116-8-2-B RGA-B RGA-3",2022,"WS",23,78,108,3433,NA,NA,50.05,NA,1,-1,-1,1,-1,-1
"167","","DSRCP v6","IR 139116-4-2-B RGA-B RGA-4",2022,"WS",24,77,110,3545,NA,NA,51.34,NA,-1,-1,-1,1,-1,1
"168","","DSRCP v6","IR 125490-B-12-B RGA-B RGA-4",2022,"WS",25,87,116,3695,NA,NA,47.3,NA,1,-1,1,1,NA,-1
