"","Maturity.duration","Group","gid","YEAR","SEASON","CANOPY","DTF","HT","GYKGPHA","normal.seeding..Emergence_7DAS","normal.seeding..Emergence_14DAS","PERCENT_HEAD_RICE","Zn.RESULT..mg.kg.","qAG1","qAG3","qDTY12.1","qSub1","Pita","xa5","STV11"
"138","","DSRCP v6","IR 125492-B-11-B RGA-B RGA-5",2022,"WS",24,77,109,3964,NA,NA,54.73,NA,NA,-1,-1,-1,1,1,1
"139","Early","DSRCP v4","IR 131081-B-B-B-B-B-B-46 RGA",2022,"WS",25,77,113,3850,NA,NA,51.83,NA,-1,1,-1,-1,1,-1,1
"140","Early","DSRCP v4","IR 131081-B-B-B-B-B-B-49 RGA",2022,"WS",25,76,113,3851,NA,NA,51.65,NA,-1,1,-1,-1,1,-1,1
"141","","DSRCP v6","IR 137194-21-2-B RGA-B RGA-4",2022,"WS",26,76,108,4026,NA,NA,61.32,NA,NA,1,1,-1,-1,-1,-1
"142","","DSRCP v6","IR 137194-21-2-B RGA-B RGA-5",2022,"WS",27,76,109,4031,NA,NA,61.3,NA,NA,1,1,-1,-1,-1,-1
"143","","DSRCP v6","IR 137194-29-2-B RGA-B RGA-3",2022,"WS",26,76,107,3979,NA,NA,60.77,NA,NA,1,1,-1,-1,-1,1
"144","","DSRCP v6","IR 137195-23-2-B RGA-B RGA-1",2022,"WS",27,75,108,3984,NA,NA,60.1,NA,NA,1,1,-1,-1,-1,1
"145","","DSRCP v6","IR 137195-23-2-B RGA-B RGA-2",2022,"WS",27,75,107,3983,NA,NA,61.46,NA,NA,1,1,-1,-1,-1,1
"146","","DSRCP v6","IR 137198-28-2-B RGA-B RGA-1",2022,"WS",25,81,118,4328,NA,NA,55.82,NA,NA,NA,-1,1,1,-1,1
"147","","DSRCP v6","IR 137198-37-1-B RGA-B RGA-1",2022,"WS",25,80,117,4451,NA,NA,58.75,NA,NA,NA,1,1,-1,-1,1
"148","","DSRCP v6","IR 137198-37-1-B RGA-B RGA-2",2022,"WS",25,80,117,4459,NA,NA,59.04,NA,NA,NA,1,1,-1,-1,1
"149","","DSRCP v6","IR 137198-38-1-B RGA-B RGA-1",2022,"WS",25,80,117,4451,NA,NA,58.75,NA,NA,NA,1,1,-1,-1,1
"150","","DSRCP v6","IR 137198-38-1-B RGA-B RGA-4",2022,"WS",25,80,117,4451,NA,NA,58.75,NA,NA,NA,1,1,-1,-1,1
"151","","DSRCP v6","IR 137198-38-1-B RGA-B RGA-5",2022,"WS",25,80,117,4456,NA,NA,58.14,NA,NA,NA,1,1,-1,-1,1
"152","","DSRCP v6","IR 137198-39-2-B RGA-B RGA-1",2022,"WS",25,80,117,4456,NA,NA,59.02,NA,NA,NA,1,1,-1,-1,1
"153","","DSRCP v6","IR 139101-26-2-B RGA-B RGA-3",2022,"WS",26,77,108,4028,NA,NA,56.83,NA,NA,1,1,-1,-1,-1,1
"154","","DSRCP v6","IR 139103-43-1-B RGA-B RGA-1",2022,"WS",26,77,112,3989,NA,NA,57.8,NA,NA,1,1,-1,-1,-1,1
"155","","DSRCP v6","IR 139107-27-1-B RGA-B RGA-2",2022,"WS",25,79,117,4211,NA,NA,54.84,NA,-1,-1,-1,-1,1,-1,1
"156","","DSRCP v6","IR 139109-29-1-B RGA-B RGA-2",2022,"WS",25,80,114,4328,NA,NA,57.02,NA,NA,1,1,-1,-1,-1,1
"157","","DSRCP v6","IR 139109-29-1-B RGA-B RGA-3",2022,"WS",24,80,115,4380,NA,NA,55.56,NA,NA,1,1,-1,-1,-1,1
"158","","DSRCP v6","IR 139110-18-2-B RGA-B RGA-2",2022,"WS",24,80,114,4340,NA,NA,56.72,NA,NA,1,1,-1,-1,-1,1
"159","","DSRCP v6","IR 139112-12-1-B RGA-B RGA-1",2022,"WS",24,80,118,4283,NA,NA,54.4,NA,-1,-1,-1,-1,1,-1,1
"160","","DSRCP v6","IR 139113-6-1-B RGA-B RGA-2",2022,"WS",25,80,111,4143,NA,NA,54.17,NA,NA,1,-1,-1,-1,-1,1
"161","","DSRCP v6","IR 139128-12-1-B RGA-B RGA-3",2022,"WS",26,74,112,4012,NA,NA,57.96,NA,-1,0,1,-1,-1,-1,1
"162","Early","DSRCP v1","IR 58443-6B-10-3",2022,"WS",27,78,114,3905,80,85,57.4,13.6,-1,1,-1,NA,NA,-1,1
"163","mid-early","DSRCP v5","IR 97181-35-1-B RGA-1 RGA",2022,"WS",25,78,112,4015,NA,97,53.71,NA,-1,-1,-1,-1,1,-1,-1
"164","Mid-early","DSRCP v3","IR 97212-10-1-2-1",2022,"WS",26,76,112,3993,NA,92,67,18.6,-1,1,-1,-1,1,-1,1
"165","Mid-Early","DSRCP v1","IR09L204",2022,"WS",29,78,110,4053,87,90,49.8,7.2,1,1,1,NA,NA,-1,1
"166","Early","DSRCP v1","IR12M112",2022,"WS",23,78,106,3800,75,79,55,10.8,-1,NA,-1,NA,NA,1,1
"167","Early","DSRCP v1","IR13L188",2022,"WS",28,70,104,4132,76,80,42.6,9.1,-1,-1,1,NA,NA,-1,1
"168","Early","DSRCP v2","IR14D132",2022,"WS",25,76,109,4016,86,88,37.7,9.9,NA,-1,-1,NA,1,-1,1
"169","Early","DSRCP v2","IR14D164",2022,"WS",25,76,113,4040,86,90,55.5,11.6,NA,-1,-1,NA,1,-1,1
"170","Early","DSRCP v2","IR14D165",2022,"WS",25,76,113,4025,77,86,51.4,14.2,NA,-1,-1,NA,1,-1,1
"171","Early","DSRCP v2","IR14D173",2022,"WS",24,76,111,4030,NA,NA,51.8,13.9,NA,0,1,NA,0,-1,1
"172","Early","DSRCP v2","IR14D174",2022,"WS",24,76,112,4077,79,86,53.6,10.5,NA,-1,-1,NA,1,-1,1
"173","Early","DSRCP v2","IR14D183",2022,"WS",25,78,118,3973,86,88,40.6,14.9,NA,1,-1,NA,-1,-1,1
